Sex   Location  Seatbelt   Response   count
 0       0         0        1          7287 
 0       0         0        2           175 
 0       0         0        3           720 
 0       0         0        4            91 
 0       0         0        5            10 
 0       0         1        1         11587 
 0       0         1	    2           126 
 0       0         1	    3           577 
 0       0         1	    4            48  
 0       0         1	    5             8 
 0       1         0        1          3246 
 0       1         0	    2            73 
 0       1         0	    3           710 
 0       1         0	    4           159 
 0       1         0	    5            31  
 0       1         1        1          6134 
 0       1         1	    2            94  
 0       1         1	    3           564  
 0       1         1	    4            82  
 0       1         1	    5            17  
 1       0         0        1         10381 
 1       0         0	    2           136 
 1       0         0	    3           566 
 1       0         0	    4            96 
 1       0         0   	    5            14 
 1       0         1        1         10969 
 1       0         1	    2            83  
 1       0         1	    3           259 
 1       0         1	    4            37  
 1       0         1	    5             1  
 1       1         0        1          6123 
 1       1         0	    2           141 
 1       1         0	    3           710 
 1       1         0	    4           188 
 1       1         0	    5            45 
 1       1         1        1 	       6693 
 1       1         1	    2 	         74 
 1       1         1	    3 	        353 
 1       1         1	    4 	         74 
 1       1         1	    5 	         12 
 
 
