  family   income  
    1      133    
    2      140   
    3      127   
    4      150   
    5      133  
    6      114    
    7      128    
    8      142    
    9      123    
   10      172    
   11      146    
   12      110     
   13      135    
   14      136      
   15      158   
   16      120   
   17      189    
   18      106    
   19      144     
   20      134    
   21      161    
   22      143   
   23      170     
   24      120    
   25      142    
   26      150    
   27      174    
   28      109    
   29      162    
   30      129    
