State  violent  murder   poverty   single   metro  white   highschool    
 AK      761      9.0       9.1     14.3     41.8   75.2         86.6    
 AL      780     11.6      17.4     11.5     67.4   73.5         66.9   
 AR      593     10.2      20.0     10.7     44.7   82.9         66.3   
 AZ      715      8.6      15.4     12.1     84.7   88.6         78.7   
 CA     1078     13.1      18.2     12.5     96.7   79.3         76.2    
 CO      567      5.8       9.9     12.1     81.8   92.5         84.4   
 CT      456      6.3       8.5     10.1     95.7   89.0         79.2   
 DE      686      5.0      10.2     11.4     82.7   79.4         77.5   
 FL     1206      8.9      17.8     10.6     93.0   83.5         74.4   
 GA      723     11.4      13.5     13.0     67.7   70.8         70.9   
 HI      261      3.8       8.0      9.1     74.7   40.9         80.1    
 IA      326      2.3      10.3      9.0     43.8   96.6         80.1   
 ID      282      2.9      13.1      9.5     30.0   96.7         79.7     
 IL      960     11.4      13.6     11.5     84.0   81.0         76.2   
 IN      489      7.5      12.2     10.8     71.6   90.6         75.6   
 KS      496      6.4      13.1      9.9     54.6   90.9         81.3   
 KY      463      6.6      20.4     10.6     48.5   91.8         64.6    
 LA     1062     20.3      26.4     14.9     75.0   66.7         68.3   
 MA      805      3.9      10.7     10.9     96.2   91.1         80.0    
 MD      998     12.7       9.7     12.0     92.8   68.9         78.4   
 ME      126      1.6      10.7     10.6     35.7   98.5         78.8  
 MI      792      9.8      15.4     13.0     82.7   83.1         76.8   
 MN      327      3.4      11.6      9.9     69.3   94.0         82.4    
 MO      744     11.3      16.1     10.9     68.3   87.6         73.9   
 MS      434     13.5      24.7     14.7     30.7   63.3         64.3   
 MT      178      3.0      14.9     10.8     24.0   92.6         81.0   
 NC      679     11.3      14.4     11.1     66.3   75.2         70.0   
 ND       82      1.7      11.2      8.4     41.6   94.2         76.7   
 NE      339      3.9      10.3      9.4     50.6   94.3         81.8   
 NH      138      2.0       9.9      9.2     59.4   98.0         82.2   
 NJ      627      5.3      10.9      9.6    100.0   80.8         76.7   
 NM      930      8.0      17.4     13.8     56.0   87.1         75.1    
 NV      875     10.4       9.8     12.4     84.8   86.7         78.8    
 NY     1074     13.3      16.4     12.7     91.7   77.2         74.8   
 OH      504      6.0      13.0     11.4     81.3   87.5         75.7   
 OK      635      8.4      19.9     11.1     60.1   82.5         74.6    
 OR      503      4.6      11.8     11.3     70.0   93.2         81.5    
 PA      418      6.8      13.2      9.6     84.8   88.7         74.7     
 RI      402      3.9      11.2     10.8     93.6   92.6         72.0   
 SC     1023     10.3      18.7     12.3     69.8   68.6         68.3    
 SD      208      3.4      14.2      9.4     32.6   90.2         77.1    
 TN      766     10.2      19.6     11.2     67.7   82.8         67.1    
 TX      762     11.9      17.4     11.8     83.9   85.1         72.1   
 UT      301      3.1      10.7      10.0    77.5   94.8         85.1    
 VA      372      8.3       9.7     10.3     77.5   77.1         75.2   
 VT      114      3.6      10.0     11.0     27.0   98.4         80.8    
 WA      515      5.2      12.1     11.7     83.0   89.4         83.8   
 WI      264      4.4      12.6     10.4     68.1   92.1         78.6    
 WV      208      6.9      22.2     9.4      41.8   96.3         66.0    
 WY      286      3.4      13.3     10.8     29.7   95.9         83.0    
 DC     2922     78.5      26.4     22.1    100.0   31.8         73.1  
