 Nation     Fertility   GDPdollars   GDP 
 Algeria    2.5         2090        0.21 
 Argentina  2.4         3524        0.35 
 Australi   1.7        26275        2.63 
 Austria    1.4        31289        3.13 
 Belgium    1.7        29096        2.91 
 Brazil     2.3         2788        0.28 
 Canada     1.5        27079        2.71 
 Chile      2.0         4591        0.46 
 China      1.7         1100        0.11 
 Denmark    1.8        39332        3.93 
 Egypt      3.3         1220        0.12 
 Finland    1.7        31058        3.11 
 France     1.9        29410        2.94 
 Germany    1.3        29115        2.91 
 Greece     1.3        15608        1.56 
 India      3.1          564        0.06 
 Iran       2.1         2066        0.21 
 Ireland    1.9        38487        3.85 
 Israel     2.9        16481        1.65 
 Japan      1.3        33713        3.37 
 Malaysia   2.9         4187        0.42 
 Mexico     2.4         6121        0.61 
 Netherla   1.7        31532        3.15 
 NewZeal    2.0        19847        1.98 
 Nigeria    5.8          428        0.04 
 Norway     1.8        48412        4.84  
 Pakistan   4.3          555        0.06 
 Philippi   3.2          989        0.10 
 Russia     1.3         3018        0.30 
 SaudArab   4.1         9532        0.95 
 SouthAf    2.8         3489        0.35 
 Spain      1.3        20404        2.04 
 Sweden     1.6        33676        3.37 
 Switzer    1.4        43553        4.36 
 Turkey     2.5         3399        0.34 
 UnitKing   1.7        30253        3.03 
 US         2.0        37648        3.76 
 VietNam    2.3          482        0.05 
 Yemen      6.2          565        0.06 
