  person   y   influence 
   1       -1      1
   1        0      2
   1       -1      3
   2        1      1
   2        0      2
   2        0      3
   3        0      1
   3        1      2
   3       -2      3
   4        2      1
   4        0      2
   4        1      3
   5        0      1
   5       -1      2
   5       -1      3
   6       -2      1
   6       -2      2
   6       -2      3
   7       -1      1
   7       -1      2
   7        0      3
   8        0      1
   8        1      2
   8       -1      3
   9       -1      1
   9       -1      2
   9       -1      3
  10        1      1
  10        0      2
  10        1      3
  11        1      1
  11        1      2
  11       -1      3
  12       -1      1
  12       -1      2
  12       -2      3

