Nation        GDP  Inequal   HDI  Econ   C02  Prison 
Australia    43550     34    0.93   81   16.5  130 
Austria      44149     30    0.88   71    7.8   98 
Belgium      40338     33    0.88   69    8.8  108 
Canada       43247     34    0.90   79   14.1  118 
Denmark      42764     27    0.90   76    7.2   73 
Finland      38251     28    0.88   73   10.2   58 
France       36907     32    0.88   62    5.2   98 
Germany      43332     31    0.91   74    8.9   79  
Greece       25651     35    0.85   54    7.6  111 
Iceland      39996     26    0.90   72    5.9   47 
Ireland      43304     32    0.90   77    7.9   88 
Italy        34303     36    0.87   62    6.7  106 
Japan        36315     32    0.89   73    9.3   51 
Luxembourg   90790     .     0.88   73   20.9  122 
Netherlands  43404     29    0.91   74   10.1   82 
NewZealand   34826     .     0.91   82    7.1  192 
Norway       65461     27    0.94   72    9.2   72 
Portugal     25900     .     0.82   65    4.7  136 
Spain        32103     36    0.87   68    5.8  147 
Sweden       43533     26    0.90   73    5.5   67 
Switzerland  53672     32    0.92   81    4.6   82 
Turkey       18975     40    0.76   63    4.4  179 
UK           36197     38    0.89   76    7.1  148 
US           53143     41    0.91   76   17.0  716 

