Nation       SP    BHN   FW    Opp    
Norway       88.36 94.80 88.46 81.82  
Sweden       88.06 94.83 86.43 82.93  
Switzerland  87.97 95.66 86.50 81.75  
Iceland      87.62 95.00 86.11 81.73  
NewZealand   87.08 92.87 82.77 85.61  
Canada       86.89 94.89 79.22 86.58  
Finland      86.75 95.05 82.58 82.63  
Denmark      86.63 96.03 82.63 81.23  
Netherlands  86.50 94.80 83.81 80.88  
Australia    86.42 93.73 79.98 85.55  
UK           84.68 92.22 79.04 82.78  
Ireland      84.66 93.68 76.34 83.97  
Austria      84.45 95.04 82.53 75.77  
Germany      84.04 94.12 81.50 76.49  
US           82.85 91.23 75.15 82.18  
Belgium      82.83 93.73 76.57 78.19  
Portugal     81.91 92.81 76.17 76.76  
Slovenia     81.62 92.88 80.87 71.12  
Spain        81.17 91.09 76.79 75.62  
France       80.82 91.16 78.83 72.46  
CzechRepub   80.59 94.23 79.04 68.49  
Estonia      80.49 88.44 79.61 73.42  
Slovakia     78.45 92.19 78.80 64.35  
Poland       77.98 86.67 77.19 70.07  
Cyprus       77.45 89.30 75.95 67.11  
Italy        77.38 88.39 77.00 66.76  
Hungary      74.80 88.80 70.40 65.21  
Latvia       74.12 83.84 77.76 60.75  
Greece       74.03 87.64 74.53 59.91  
Lithuania    74.00 83.75 74.79 63.47  
Croatia      73.30 87.49 76.09 56.32  
Bulgaria     70.19 84.73 69.57 56.29  
Serbia       69.79 83.38 74.74 51.25  
Montenegro   69.01 81.89 72.09 53.04  
Romania      68.37 77.35 71.53 56.24  
Albania      68.19 80.71 73.64 50.23  
Macedonia    67.79 83.53 67.04 52.80  
Turkey       66.24 81.50 66.61 50.61  
BosniaHerz   66.15 85.78 70.35 42.33  
Georgia      65.89 80.15 69.61 47.92  
Armenia      65.70 82.60 69.28 45.24  
Ukraine      65.69 78.28 61.74 57.05  
Belarus      64.98 83.03 66.72 45.19  
Moldova      64.92 81.13 68.43 45.20  
