    party  vote    plan  
      D      U      N       
      I      U      N          
      D      R      N            
      D      R      N          
      D      D      N          
      I      U      N          
      I      R      N          
      D      D      N           
      R      R      Y           
      R      R      Y     
      R      U      N     
      I      D      N     
      R      D      N     
      D      D      Y     
      D      D      N     
      I      R      Y     
      D      D      Y     
      D      D      Y     
      I      D      Y     
      I      D      N     
      D      D      Y     
      D      U      N     
      I      D      Y     
      D      D      Y     
      R      R      Y     
      I      R      Y     
      I      D      Y     
      R      R      Y     
      D      D      Y     
      D      D      Y     
      R      R      N     
      R      R      Y     
      I      U      Y     
      R      R      Y     
      I      R      N     
      I      U      N     
      I      D      Y     
      R      R      Y     
      D      D      Y     
      R      R      Y     
      D      D      Y     
      I      D      Y     
      R      R      Y     
      D      U      Y     
      R      U      N     
      R      R      Y     
      D      R      Y     
      D      U      N     
      D      R      Y     
      R      R      N     
