 county  income unemplo highscho urban crime 
     ALACHUA  22084  47 82.7 73.21527 0.104035358
       BAKER  25816  93 64.1 21.45407 0.019504723
         BAY  24684  92 74.7 84.95047 0.064469605
    BRADFORD  24625  60 65.0 23.21119 0.050470890
     BREVARD  30534  81 82.3 91.85043 0.064488845
     BROWARD  30571  81 76.8 98.89915 0.094174411
     CALHOUN  18615  92 55.9  0.00000 0.007644861
    CHARLOTT  25746  81 75.7 80.15409 0.034943717
      CITRUS  21285  87 68.6 30.99930 0.026848349
        CLAY  34860  65 81.2 65.82001 0.041282222
     COLLIER  34001  89 79.0 77.64745 0.055323715
    COLUMBIA  21961 102 69.0 31.13369 0.068635447
        DADE  26909 100 65.0 98.84337 0.128204315
      DESOTO  20962 105 54.5 44.55479 0.069205778
       DIXIE  15380 103 57.7  0.00000 0.048895633
       DUVAL  28513  70 76.9 98.80054 0.097219536
    ESCAMBIA  25158  58 76.2 85.93368 0.070425627
     FLAGLER  28628 100 78.7 63.07794 0.034305924
    FRANKLIN  17247  52 59.5 30.18847 0.037324087
     GADSDEN  19985  69 59.9 28.77022 0.052321416
    GILCHRIS  20632  72 63.0  0.00000 0.015098185
      GLADES  20687 106 57.4  0.00000 0.061566265
        GULF  21866  92 66.4 35.15299 0.018768046
    HAMILTON  18709 132 58.4  0.00000 0.005925290
      HARDEE  22065 139 54.8 16.68291 0.057412362
      HENDRY  24904 137 56.6 44.74838 0.046639475
    HERNANDO  22741  87 70.5 61.28270 0.044415455
    HIGHLAND  21146  98 68.2 24.75742 0.055994345
    HILLSBOR  28477  69 75.6 89.22792 0.109900253
      HOLMES  17241  92 57.1 16.83990 0.004524610
    INDIAN_R  28961 121 76.5 83.01148 0.057665304
     JACKSON  19471  75 61.6 21.67251 0.032399595
    JEFFERSO  21782  59 64.1 22.34419 0.035538839
    LAFAYETT  20744  67 58.2  0.00000 0.000000000
        LAKE  23395 101 70.6 43.18690 0.042490559
         LEE  28448  77 76.9 86.11185 0.059156183
        LEON  27323  40 84.9 82.50118 0.107260136
        LEVY  18807  86 62.8  0.00000 0.045026621
     LIBERTY  22253  47 56.7  0.00000 0.008016731
     MADISON  18153  70 56.5 20.27883 0.025723844
     MANATEE  25951  64 75.6 88.67775 0.079014413
      MARION  22452  88 69.6 39.62214 0.063508358
      MARTIN  31760 107 79.7 83.22993 0.052591882
      MONROE  29351  53 79.7 73.21978 0.089313806
      NASSAU  30233  75 71.2 44.88746 0.041885603
    OKALOOSA  27941  66 83.8 83.97090 0.036833553
     OKEECHO  21427 120 59.1 30.05029 0.051170369
       ORANGE 30252  72 78.8 93.12419 0.093061754
      OSCEOLA 27260  87 73.7 66.40056 0.077752912
     PALM_BEA 32524  98 78.8 94.72263 0.089755995
        PASCO 21480  91 66.9 67.41875 0.041774316
     PINELLAS 26296  66 78.1 99.59737 0.069813372
         POLK 25216 110 68.0 70.25719 0.083712877
       PUTNAM 20155  89 64.3 15.67696 0.083372641
    SANTA_ROS 27584  72 79.9 57.20216 0.043293905
     SARASOTA 29919  58 71.7 92.08769 0.058165441
     SEMINOLE 35637  68 78.5 44.40006 0.056234461
     ST_JOHN  29926  68 81.3 93.24240 0.053800469
     ST_LUC   27710 162 84.6 92.78021 0.058363461
       SUMTER 19584  90 64.3 19.34003 0.037367491
      SUWANEE 19775  99 63.8 23.64451 0.036944096
       TAYLOR 21380 114 62.1 41.79183 0.076316547
        UNION 22831  48 67.7  0.00000 0.006061109
      VOLUSIA 24818  79 75.4 83.90961 0.061927665
      WAKULLA 25019  58 71.6  0.00000 0.028624968
       WALTON 21927  55 66.5 20.85014 0.017625020
      WASHING 18266  80 60.9 22.85005 0.020642593
;
proc corr; var income unemp hs urban crime ;
proc plot; plot crime*income crime*urban;
proc reg; model crime = urban ;
proc reg; model crime = income ;
proc reg; model crime = income urban / pcorr2 stb partial;
run; 
